Lizenzliste: Gold: Karger OA Journals [EZB-FID-PUBLISSO-00001],,, ,,, ,,, ,,, ,,, ,
Datum: 21.01.2021,,, ,,, ,,, ,,, ,,, ,
Typ der Lizenzen: Alle angezeigten Lizenzen,,, ,,, ,,, ,,, ,,, ,
 ,,, ,,, ,,, ,,, ,,, ,
EZB-Id,Titel,Verlag,Fach,E-ISSN,P-ISSN,ZDB-Nummer,FrontdoorURL,Link zur Zeitschrift,erstes Jahr,erstes volume,erstes issue,letztes Jahr,letztes volume,letztes issue,Embargo,Schlagworte
244240,Biomedicine Hub,S. Karger AG ,Medizin,2296-6870,,2855840-6,https://ezb.uni-regensburg.de/detail.phtml?jour_id=244240,http://www.karger.com/BMH ,2016,1,,,,,0,
465906,Cardiorenal Medicine,S. Karger AG ,Medizin,1664-5502,1664-3828 ,2595659-0,https://ezb.uni-regensburg.de/detail.phtml?jour_id=465906,https://www.ncbi.nlm.nih.gov/pmc/journals/1507/ ,2011,1,1,2018,8,4,0,
345895,Case Reports in Acute Medicine,S. Karger AG ,Medizin,2504-5288,,2908407-6,https://ezb.uni-regensburg.de/detail.phtml?jour_id=345895,https://www.karger.com/Journal/Home/276595 ,2018,1,1,,,,0,
465031,Case Reports in Clinical Nutrition,S. Karger AG ,Medizin,2571-662X,,,https://ezb.uni-regensburg.de/detail.phtml?jour_id=465031,https://www.karger.com/CRC ,2018,1,,,,,0,
123394,Case Reports in Dermatology,S. Karger AG ,Medizin,1662-6567,,2505300-0,https://ezb.uni-regensburg.de/detail.phtml?jour_id=123394,https://www.karger.com/Journal/Home/239060 ,2009,1,1,,,,0,
109345,Case Reports in Gastroenterology,S. Karger AG ,Medizin,1662-0631,,2440540-1,https://ezb.uni-regensburg.de/detail.phtml?jour_id=109345,https://www.karger.com/Journal/Home/232833 ,2007,1,1,,,,0,
184023,Case Reports in Nephrology and Dialysis,S. Karger AG ,Medizin,2296-9705,1664-5510,2809879-1,https://ezb.uni-regensburg.de/detail.phtml?jour_id=184023,http://www.karger.com/Journal/Home/254804 ,2011,1,1,,,,0,
123395,Case Reports in Neurology,S. Karger AG ,Medizin,1662-680X,,2505302-4,https://ezb.uni-regensburg.de/detail.phtml?jour_id=123395,https://www.karger.com/Journal/Home/238704 ,2009,1,1,,,,0,
110287,Case Reports in Oncology,S. Karger AG ,Medizin,1662-6575,,2458961-5,https://ezb.uni-regensburg.de/detail.phtml?jour_id=110287,https://www.karger.com/Journal/Home/239061 ,2008,1,1,,,,0,
145668,Case Reports in Ophthalmology,S. Karger AG ,Medizin,1663-2699,,2577666-6,https://ezb.uni-regensburg.de/detail.phtml?jour_id=145668,https://www.karger.com/Journal/Home/251887 ,2010,1,1,,,,0,
345896,Case Reports in Orthopedic Research,S. Karger AG ,Medizin,2296-9373,,2908414-3,https://ezb.uni-regensburg.de/detail.phtml?jour_id=345896,https://www.karger.com/Journal/Home/261897 ,2018,1,1,,,,0,
179350,Cerebrovascular Diseases Extra,S. Karger AG ,Medizin,1664-5456,,2651613-5,https://ezb.uni-regensburg.de/detail.phtml?jour_id=179350,https://www.karger.com/CEE ,2011,1,,,,,0,
247791,Current Urology,S. Karger AG ,Medizin,1661-7657,1661-7649 ,2260439-X,https://ezb.uni-regensburg.de/detail.phtml?jour_id=247791,https://www.karger.com/CUR ,2012,6,1,,,,0,
167294,Dementia and Geriatric Cognitive Disorders Extra,S. Karger AG ,Medizin,1664-5464,,2621464-7,https://ezb.uni-regensburg.de/detail.phtml?jour_id=167294,https://www.karger.com/DEE ,2011,1,,,,,0,
310351,Digital Biomarkers,S. Karger AG ,Medizin,2504-110X,,2906645-1,https://ezb.uni-regensburg.de/detail.phtml?jour_id=310351,https://www.karger.com/Journal/Home/271954 ,2017,1,1,,,,0,
345899,"Dubai Diabetes and Endocrinology Journal 
(formerly International Journal of Diabetes and Metabolism)",S. Karger AG ,Medizin,2673-1738,2073-5944 ,2938821-1,https://ezb.uni-regensburg.de/detail.phtml?jour_id=345899,https://www.karger.com/Journal/Home/277044 ,2018,21,1,,,,0,
345897,Dubai Medical Journal,S. Karger AG ,Medizin,2571-726X,,2938789-9,https://ezb.uni-regensburg.de/detail.phtml?jour_id=345897,https://www.karger.com/Journal/Home/277043 ,2018,1,1,,,,0,
466587,Gastrointestinal Tumors,S. Karger AG ,Medizin,2296-3766,2296-3774 ,2735769-7,https://ezb.uni-regensburg.de/detail.phtml?jour_id=466587,https://www.karger.com/Journal/Home/259898 ,2014,1,,,,,0,
312974,GE - Portuguese Journal of Gastroenterology,S. Karger AG ,Medizin,2387-1954,2341-4545 ,2835774-7,https://ezb.uni-regensburg.de/detail.phtml?jour_id=312974,https://www.karger.com/PJG ,2017,24,1,,,,0,
