"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für Gravitationsphysik, Golm"	"AEI"	"DE-Po62"
"Leibniz-Institut für Astrophysik Potsdam"	"AIP"	"DE-B33"
"Bibliothek der Akkon-Hochschule"	"AKKON"	""
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, (AWI), Bibliothek"	"AWIPM"	"DE-Bv2"
"BA Sachsen, Bibliothek der Staatlichen Studienakademie Breitenbrunn"	"BABRE"	"DE-Brt1"
"Gemeinsame Bibliothek der BA Dresden und der EHS Dresden"	"BADD"	"DE-D161"
"Bibliothek der Bundesanstalt für Finanzdienstleistungsaufsicht Bonn"	"BAFIN"	"DE-B196"
"Bibliothek der Staatlichen Studienakademie Glauchau, BA Sachsen"	"BAG"	"DE-Gla1"
"Duale Hochschule Baden-Württemberg Heidenheim Bibliothek"	"BAH"	"DE-Hed2"
"Berufsakademie Sachsen. Staatliche Studienakademie Bautzen"	"BAKS"	"DE-Bn3"
"DHBW Lörrach, Bibliothek"	"BALO"	"DE-Loer2"
"Bundesanstalt für Materialforschung und -prüfung (BAM)"	"BAM"	"DE-B43"
"Bibliothek der Dualen Hochschule Baden-Württemberg Mannheim"	"BAMA"	"DE-Mh35"
"Bundesamt für Migration und Flüchtlinge (BAMF), Bibliothek"	"BAMF"	""
"Duale Hochschule Baden-Württemberg"	"BAMOS"	""
"Bibliothek der Staatlichen Studienakademie Plauen, BA Sachsen"	"BAPL"	"DE-Pl11"
"Berufsakademie Sachsen, Staatliche Studienakademie Riesa, Bibliothek"	"BARIE"	"DE-Rs1"
"Bibliothek der Dualen Hochschule Ravensburg"	"BARV"	"DE-Rav1"
"Duale Hochschule Baden-Württemberg Stuttgart"	"BAS"	"DE-Stg258"
"Duale Hochschule Baden-Württemberg Villingen-Schwenningen, Bibliothek"	"BAVS"	"DE-Vil2"
"Stadtbibliothek Saarlouis"	"BBA"	"DE-885"
"Berlin-Brandenburgische Akademie der Wissenschaften, Akademiebibliothek"	"BBAW"	"DE-B4"
"Bibliothek der Dualen Hochschule Gera-Eisenach, Campus Gera"	"BBG"	"DE-Ga20"
