ISIL	EZB-Id	City	Name	Stocksize
DE-A96         	FHBAA	Aachen	Hochschulbibliothek der Fachhochschule Aachen	100001-300000
DE-82          	BTHAC	Aachen	Universitätsbibliothek der RWTH Aachen	1000001-
DE-944         	FHAA	Aalen	Hochschulbibliothek Aalen	30001-100000
               	KSA	Aarau	Kantonsspital Aarau AG	n/a
DE-991         	HSASI	Albstadt	Hochschule Albstadt-Sigmaringen / Bibliothek	30001-100000
DE-1046        	FHBAW	Amberg / Weiden	OTH-Bibliothek Amberg/Weiden	30001-100000
               	DAIAM	Amman	Forschungsstelle Amman am Deutschen Evangelischen Institut (DEI)	n/a
DE-1102        	FHBAN	Ansbach	Hochschulbibliothek Ansbach	30001-100000
DE-1043        	FHBAB	Aschaffenburg	Bibliothek der Technischen Hochschule Aschaffenburg	30001-100000
               	DAIAT	Athen	Deutsches Archäologisches Institut (DAI), Abteilung Athen	n/a
DE-Aug4        	FHBA	Augsburg	Bibliothek der HS Augsburg	30001-100000
               	KLIA	Augsburg	Med.-wiss. Bibliothek, Klinikum Augsburg	n/a
DE-37          	SUSBA	Augsburg	Staats- und Stadtbibliothek Augsburg	300001-1000000
DE-384         	UBA	Augsburg	Universitätsbibliothek Augsburg	1000001-
               	KSZ	Baar	Zuger Kantonsspital AG	n/a
DE-1278        	IUBH	Bad Honnef	IUBH Internationale Hochschule - Bibliothek	10001-30000
DE-Nau1        	MPIPK	Bad Nauheim	Max-Planck-Institut für Herz- und Lungenforschung, W.G. Kerckhoff-Institut, Bad Nauheim	10001-30000
DE-294-65      	HDZ	Bad Oeynhausen	Herz- und Diabeteszentrum NRW	-1000
               	KSBA	Baden	Kantonsspital Baden AG	n/a
               	PHNIE	Baden	Pädagogische Hochschule Niederösterreich	n/a
DE-473         	UBB	Bamberg	Universitätsbibliothek Bamberg	1000001-
               	SVKBB	Banská Bystrica	Wissenschaftliche Bibliothek in Banská Bystrica	n/a
               	CSB	Basel	Claraspital Basel	n/a
               	PZBS	Basel	Pädagogisches Zentrum Basel-Stadt	n/a
DE-Bn3         	BAKS	Bautzen	Berufsakademie Sachsen. Staatliche Studienakademie Bautzen	10001-30000
DE-703         	UBBAY	Bayreuth	Universitätsbibliothek Bayreuth	1000001-
               	EOC	Bellinzona	Ente Ospedaliero Cantonale	n/a
DE-B1533       	ASH	Berlin	Alice Salomon Hochschule Berlin	100001-300000
DE-B4          	BBAW	Berlin	Berlin-Brandenburgische Akademie der Wissenschaften, Akademiebibliothek	300001-1000000
DE-B768        	TFHB	Berlin	Beuth Hochschule für Technik Berlin	100001-300000
DE-B16         	MFN	Berlin	Bibliothek am Museum für Naturkunde Berlin	100001-300000
               	AKKON	Berlin	Bibliothek der Akkon-Hochschule	n/a
DE-523         	HTW	Berlin	Bibliothek der HTW-Berlin	300001-1000000
DE-1826        	IPU	Berlin	Bibliothek der International Psychoanalytic University (IPU) Berlin	10001-30000
DE-B12         	BGVV	Berlin	Bundesinstitut für Risikobewertung	30001-100000
               	DAIOA	Berlin	Deutsches Archäologisches Institut (DAI) Orientabteilung	n/a
DE-B523        	DAIEA	Berlin	Deutsches Archäologisches Institut (DAI), Eurasien-Abteilung	30001-100000
DE-B99         	DAI	Berlin	Deutsches Archäologisches Institut (DAI), Zentrale Berlin	30001-100000
               	DHZB	Berlin	Deutsches Herzzentrum Berlin	n/a
DE-B1547       	DIM	Berlin	Deutsches Institut für Menschenrechte - Bibliothek	5001-10000
DE-B554        	DIW	Berlin	Deutsches Institut für Wirtschaftsforschung Berlin	30001-100000
DE-B1531       	DRFZ	Berlin	Deutsches Rheuma-Forschungszentrum. Ein Institut der Leibniz-Gemeinschaft	1001-2000
DE-B1562       	DZA	Berlin	Deutsches Zentrum für Altersfragen, Bibliothek, Berlin	10001-30000
DE-B1556       	EHBER	Berlin	Evangelische Hochschule Berlin	30001-100000
DE-B113        	FHI	Berlin	Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin	30001-100000
DE-B2138       	ZMO	Berlin	Geisteswissenschaftliche Zentren Berlin	30001-100000
DE-B2018       	KB	Berlin	Helios Zentralbibliothek	30001-100000
DE-B1505       	HMIB	Berlin	Helmholtz-Zentrum Berlin - Zentralbibliothek	300001-1000000
DE-B1570       	HSG	Berlin	Hertie School of Governance	3001-5000
DE-2070s       	FHW	Berlin	Hochschule für Wirtschaft und Recht Berlin	30001-100000
DE-11-10       	UBHUB	Berlin	Humboldt-Universität zu Berlin	-1000
DE-204         	IAI	Berlin	Ibero-Amerikanisches Institut, Berlin	1000001-
DE-B259        	IGB	Berlin	Leibniz-Institut für Gewässerökologie und Binnenfischerei	10001-30000
DE-B2225       	MDCB	Berlin	Max-Delbrück-Centrum für Molekulare Medizin (MDC), Berlin	30001-100000
DE-B1532       	MPIBF	Berlin	Max-Planck-Institut für Bildungsforschung, Berlin	100001-300000
               	MPIIB	Berlin	Max-Planck-Institut für Infektionsbiologie	n/a
DE-B787        	MOLGE	Berlin	Max-Planck-Institut für molekulare Genetik, Berlin	30001-100000
DE-B2226       	MPIWG	Berlin	Max-Planck-Institut für Wissenschaftsgeschichte, Berlin	10001-30000
DE-578-e       	MBCB	Berlin	Medizinische Bibliothek der Charité	100001-300000
               	RKI	Berlin	Robert Koch-Institut / Bibliothek	n/a
DE-1a          	SBBPK	Berlin	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1000001-
DE-B1549       	BITOP	Berlin	Stiftung Topographie des Terrors - Bibliothek	30001-100000
DE-B1567       	SWP	Berlin	Stiftung Wissenschaft und Politik Berlin	30001-100000
DE-188-e       	FUB	Berlin	Universitätsbibliothek der Freien Universität Berlin	100001-300000
DE-83          	TUBB	Berlin	Universitätsbibliothek der TU Berlin	1000001-
DE-B513        	WIAS	Berlin	Weierstraß-Institut für Angewandte Analysis und Stochastik Leibniz-Institut im Forschungsverbund Berlin e.V. (WIAS)	30001-100000
               	WIKO	Berlin	Wissenschaftskolleg zu Berlin	n/a
DE-B1543       	WZB	Berlin	Wissenschaftszentrum Berlin für Sozialforschung, Berlin	100001-300000
DE-109         	ZLB	Berlin	Zentral- und Landesbibliothek Berlin	1000001-
DE-B1536       	ZUSE	Berlin	Zuse Institute Berlin (ZIB), Bibliothek	10001-30000
DE-B43         	BAM	Berlin, Deutschland	Bundesanstalt für Materialforschung und -prüfung (BAM)	30001-100000
               	BZPFL	Bern	Berner Bildungszentrum Pflege, Bibliothek	n/a
               	BFHH	Bern	BFH, Bibliotheken der Berner Fachhochschule	n/a
               	SECO	Bern	Staatssekretariat für Wirtschaft SECO	n/a
DE-949         	FHBC	Biberach	Bibliothek der Hochschule Biberach	30001-100000
DE-Bi10        	FHBI	Bielefeld	Hochschulbibliothek der FH Bielefeld	100001-300000
DE-361         	UBBIE	Bielefeld	Universitätsbibliothek Bielefeld	1000001-
DE-2059        	BSSB	Bielefeld	v. Bodelschwinghsche Stiftungen Bethel - Zentrale Bibliothek	10001-30000
DE-Bin1        	THB	Bingen	Technische Hochschule Bingen - Bibliothek	30001-100000
DE-956         	EFRWL	Bochum	Bochum, Evangelische Hochschule Rheinland-Westfalen-Lippe / Hochschulbibliothek	30001-100000
DE-Bm40        	FHBO	Bochum	Hochschulbibliothek der Hochschule Bochum	100001-300000
DE-1866        	HFG	Bochum	Hochschule für Gesundheit	10001-30000
DE-294         	RUBO	Bochum	Ruhr-Universität Bochum	1000001-
DE-B1512       	BFARM	Bonn	BfArM-Bibliothek, Bonn	30001-100000
DE-B196        	BAFIN	Bonn	Bibliothek der Bundesanstalt für Finanzdienstleistungsaufsicht Bonn	100001-300000
DE-Bo133       	FES	Bonn	Bibliothek der Friedrich-Ebert-Stiftung	300001-1000000
               	BICC	Bonn	Bibliothek des Internationalen Konversionszentrums Bonn (BICC)	n/a
DE-B219        	BFN	Bonn	Bundesamt für Naturschutz (BfN) / Bibliothek (Bonn/Leipzig/Vilm)	100001-300000
DE-B1509       	BIB	Bonn	Bundesinstitut für Berufsbildung, Bibliothek, Bonn / Informationsverbund Berlin-Bonn (IVBB)	30001-100000
DE-Bo405       	DAIBO	Bonn	Deutsches Archäologisches Institut (DAI), Kommission für Archäologie Außereuropäischer Kulturen (KAAK) Bonn	30001-100000
               	DZNE	Bonn	Deutsches Zentrum für Neurodegenerative Erkrankungen	n/a
DE-Bo410       	DIE	Bonn	DIE-Bibliothek für Erwachsenenbildung	30001-100000
DE-1044        	FHBRS	Bonn	Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg	100001-300000
DE-Bo206       	MPIMA	Bonn	Max-Planck-Institut für Mathematik, Bonn	10001-30000
DE-Bo146       	MPIFR	Bonn	Max-Planck-Institut für Radioastronomie, Bonn	10001-30000
DE-Bo407       	MPPRG	Bonn	Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Bonn	30001-100000
