"Lizenzliste: Walter de Gruyter Online-Zeitschriften LLH1 AL [EZB-NALFK-00448]"			 			 			 			 			 	
"Datum: 11.10.2018 um 12:40 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
157023	"ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen"	"De Gruyter Saur"	"Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	"2191-4664"	"0720-6763"	"2598795-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=157023"	"http://www.degruyter.com/view/j/abitech?recentIssue=true"	1996	16						"Bibliotheksbau;Bibliotheksautomation;Bibliothekstechnik"
106411	"African Book Publishing Record, The"	"de Gruyter"	"Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	"1865-8717"	"0306-0322"	"2430637-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=106411"	"http://www.degruyter.com/view/j/abpr?recentIssue=true"	1975	1						"Verlagswesen Afrika"
160043	"Angermion"	"de Gruyter"	"Anglistik. Amerikanistik;Germanistik. Niederländische Philologie. Skandinavistik"	"1868-9426"	"1438-2091"	"2606724-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=160043"	"http://www.degruyter.com/view/j/ang?recentIssue=true"	2010	3						"Allgemeine Germanistik;Allgemeine Anglistik"
101200	"Anglia : Journal of English Philology = Zeitschrift für englische Philologie"	"Niemeyer ; de Gruyter"	"Anglistik. Amerikanistik"	"1865-8938"	"0340-5222"	"2406132-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=101200"	"http://www.degruyter.com/view/j/angl?recentIssue=true"	1878	1						"Englische Sprachwissenschaft;Englische Literaturwissenschaft"
205002	"Annalen des Historischen Vereins für den Niederrhein, insbesondere das Alte Erzbistum Köln "	"Böhlau ; De Gruyter"	"Geschichte"	"2194-3818"	"0341-289X"	"2747667-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=205002"	"http://www.degruyter.com/view/j/annalen?recentIssue=true"	1855	1						"Landesgeschichte Deutschland;Nordrhein-Westfalen"
39551	"Antike und Abendland"	"de Gruyter"	"Klassische Philologie. Byzantinistik. Mittellateinische und neugriechische Philologie. Neulatein"	"1613-0421"	"0003-5696"	"2131693-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=39551"	"http://www.degruyter.com/view/j/anti?recentIssue=true"	1944	1						"Alte Geschichte"
160303	"Apeiron : A Journal for Ancient Philosophy and Science"	"de Gruyter"	"Naturwissenschaft allgemein;Philosophie"	"2156-7093"	"0003-6390"	"2485291-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=160303"	"http://www.degruyter.com/view/j/apeiron?recentIssue=true"	1967	1						"Philosophie der Antike;Wissenschaftstheorie"
145329	"Applied Linguistics Review "	"Mouton de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1868-6311"	"1868-6303"	"2575065-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=145329"	"http://www.degruyter.com/view/j/alr?recentIssue=true"	2010	1						"Allgemeine Linguistik"
103188	"Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft"	"Niemeyer ; de Gruyter"	"Germanistik. Niederländische Philologie. Skandinavistik"	"1865-8849"	"0723-2977"	"2415702-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=103188"	"http://www.degruyter.com/view/j/arbi?recentIssue=true"	1983	1						"Germanistische Literaturwissenschaft"
46683	"Arcadia: Internationale Zeitschrift für Literaturwissenschaft - International Journal for Literary Studies"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1613-0642"	"0003-7982"	"2158551-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=46683"	"http://www.degruyter.com/view/j/arca?recentIssue=true"	1966	1						"Allgemeine Literaturwissenschaft;Vergleichende Literaturwissenschaft"
