"Institution"	"EZB-Id"	"Sigel"
"Bayerische Staatsbibliothek München"	"BSB"	"DE-12"
"BfArM-Bibliothek, Bonn"	"BFARM"	"DE-B1512"
"Bibliothek der Pädagogischen Hochschule Freiburg"	"PHBFR"	"DE-Frei129"
"Bibliotheken der Universität Frankfurt am Main"	"UBFM"	"DE-30"
"Bibliothekssystem der Justus-Liebig-Universität Gießen"	"UBGIE"	"DE-26"
"Bibliothekssystem der Universität Mainz"	"UBMZ"	"DE-77"
"Bundesinstitut für Risikobewertung"	"BGVV"	"DE-B12"
"Deutsches Zentrum für Neurodegenerative Erkrankungen"	"DZNE"	""
"Forschungszentrum Jülich GmbH, Zentralbibliothek"	"FZJUE"	"DE-Juel1"
"Helmholtz Zentrum München - Zentralbibliothek"	"GSF"	""
"Hochschule Fresenius, Idstein"	"EFF"	"DE-1126"
"Hochschule für Gesundheit"	"HFG"	"DE-1866"
"Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg"	"HAWHH"	""
"Hochschul- und Landesbibliothek Fulda"	"FHFD"	"DE-66"
"Max-Planck-Institut für Bildungsforschung, Berlin"	"MPIBF"	"DE-B1532"
"Medizinische Bibliothek der Charité"	"MBCB"	"DE-578-e"
"MHH-Bibliothek / Medizinische Hochschule Hannover"	"MHH"	"DE-354"
"Niedersächsische Staats- und Universitätsbibliothek Göttingen"	"SUBGO"	"DE-7"
"Paul-Ehrlich-Institut, Bibliothek"	"PEI"	"DE-F20"
"Robert Koch-Institut / Bibliothek"	"RKI"	""
"Ruhr-Universität Bochum"	"RUBO"	"DE-294"
"Saarländische Universitäts- und Landesbibliothek"	"SULB"	"DE-291"
"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden"	"SLUB"	"DE-14"
"Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken"	"SUBHH"	"DE-18"
"Technische Universität München - Universitätsbibliothek"	"TUM"	"DE-91"
"Thüringer Universitäts- und Landesbibliothek Jena"	"THULB"	"DE-27"
"Universität Marburg"	"UBMA"	"DE-4"
"Universitätsbibliothek der FAU Erlangen-Nürnberg"	"UBEN"	"DE-29"
"Universitätsbibliothek der LMU München"	"UBM"	"DE-19"
"Universitätsbibliothek Duisburg-Essen, Campus Duisburg"	"UBDU"	"DE-464"
"Universitätsbibliothek Duisburg-Essen"	"UGHE"	"DE-465"
"Universitätsbibliothek Freiburg"	"UBFRE"	"DE-25"
"Universitätsbibliothek Greifswald"	"UBGRW"	"DE-9"
"Universitätsbibliothek Heidelberg"	"UBHE"	"DE-16"
"Universitätsbibliothek Kiel"	"UBK"	"DE-8"
"Universitätsbibliothek Leipzig"	"UBL"	"DE-15"
"Universitätsbibliothek Magdeburg (einschl. Medizinische Zentralbibliothek)"	"UBMD"	"DE-Ma9"
"Universitätsbibliothek Regensburg"	"UBR"	"DE-355"
"Universitätsbibliothek Rostock"	"UBRO"	"DE-28"
"Universitätsbibliothek Tübingen"	"UBTUE"	"DE-21"
"Universitätsbibliothek Witten/Herdecke"	"UNIWH"	"DE-1018"
"Universitätsbibliothek Würzburg"	"UBW"	"DE-20"
"Universitätsklinikum Hamburg-Eppendorf"	"UKE"	"DE-18-64"
"Universitäts- und Landesbibliothek Düsseldorf"	"ULBD"	"DE-61"
"Universitäts- und Landesbibliothek Münster"	"ULBMS"	"DE-6"
"Württembergische Landesbibliothek Stuttgart"	"WLB"	"DE-24"
"ZB MED - Informationszentrum Lebenswissenschaften /  Medizinische Abteilung der USB Köln"	"ZBMED"	"DE-38M"
"Zentrale Hochschulbibliothek Lübeck"	"UBHL"	"DE-841"
