publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
AADE in Practice	2325-1603	2325-1611	2013	1					http://journals.sagepub.com/home/aip		203363		Volltext		Sage Publishing	sage_premier	2325-1603;2325-1611	2743625-1
Accounting History	1032-3732	1032-3732	1996	1					http://journals.sagepub.com/home/ach		60928		Volltext		Sage Publications	sage_premier	1032-3732;1749-3374	2211854-8
Acta Sociologica	0001-6993	1502-3869	1956	1					http://journals.sagepub.com/home/asj		37288		Volltext		Sage Publications	sage_premier	0001-6993;1502-3869	1463377-2
Action Research	1476-7503	1741-2617	2003	1					http://journals.sagepub.com/home/arj		37701		Volltext		Sage Publications	sage_premier	1476-7503;1741-2617	2129534-7
Active Learning in Higher Education	1469-7874	1741-2625	2000	1					http://journals.sagepub.com/home/alh		10300		Volltext		Sage Publications	sage_premier	1469-7874;1741-2625	2047577-9
Adaptive Behavior	1059-7123	1741-2633	1992	1					http://journals.sagepub.com/home/adb		594		Volltext		Sage Publications	sage_premier	1059-7123;1741-2633	2070012-X
Administration and Society	0021-9932	1552-3039	1969	1					http://journals.sagepub.com/home/aas		5985		Volltext		Sage Publications	sage_premier	0021-9932;0095-3997;1552-3039	1499970-5
Administrative Science Quarterly (1999 -)	0001-8392	1930-3815	1999	44					http://journals.sagepub.com/home/asq		60767		Volltext		Sage Publications ; Cornell University	sage_premier	0001-8392;1930-3815	2064582-X
Adoption and Fostering	0308-5759	1740-469X	1977	87					http://journals.sagepub.com/home/aaf		36473		Volltext		Sage Publications ; British Association for Adoption and Fostering	sage_premier	0308-5759;1740-469X	2111632-5
Adult Education Quarterly	0741-7136	1552-3047	1950	1					http://journals.sagepub.com/home/aeq		7731		Volltext		Sage Publications	sage_premier	0741-7136;1552-3047	2026198-6
Adult Learning	1045-1595	2162-4070	1999	10					http://journals.sagepub.com/home/alx		185092		Volltext		Sage Publications	sage_premier	1045-1595;2162-4070	2069665-6
Advances in Dental Research	0895-9374	1544-0737	1987	1					http://journals.sagepub.com/home/adr		53646		Volltext		Sage Publications ; International Association for Dental Research ; HighWire Press	sage_premier	0895-9374;1544-0737	2078150-7
Advances in Developing Human Resources	1523-4223	1552-3055	1999	1					http://journals.sagepub.com/home/adh		10522		Volltext		Sage Publications	sage_premier	1523-4223;1552-3055	2049457-9
