"Institution"	"EZB-Id"	"Sigel"
"Badische Landesbibliothek Karlsruhe"	"BLB"	"DE-31"
"BA Sachsen, Bibliothek der Staatlichen Studienakademie Breitenbrunn"	"BABRE"	"DE-Brt1"
"Berufsakademie Sachsen. Staatliche Studienakademie Bautzen"	"BAKS"	"DE-Bn3"
"Beuth Hochschule für Technik Berlin"	"TFHB"	"DE-B768"
"Bibliothek Burg Giebichenstein Kunsthochschule Halle"	"KDHAL"	"DE-Ha125"
"Bibliothek der Akkon-Hochschule"	"AKKON"	""
"Bibliothek der Dualen Hochschule Baden-Württemberg CAS"	"CASH"	"DE-2170"
"Bibliothek der Evangelischen Hochschule Nürnberg"	"EHS"	"DE-1052"
"Bibliothek der Fachhochschule Erfurt"	"FHEF"	"DE-546"
"Bibliothek der Frankfurt UAS"	"FHF"	"DE-946"
"Bibliothek der HafenCity Universität Hamburg"	"HCUHH"	"DE-1373"
"Bibliothek der HAWK -  Hildesheim/Holzminden/Göttingen"	"HAWK"	""
"Bibliothek der Hochschule Biberach"	"FHBC"	"DE-949"
"Bibliothek der Hochschule für Wirtschaft und Gesellschaft Ludwigshafen am Rhein"	"FHLU"	"DE-1116"
"Bibliothek der Hochschule Hannover"	"FHH"	"DE-960-1"
"Bibliothek der Hochschule Landshut"	"FHBLA"	"DE-860"
"Bibliothek der Hochschule München"	"FHM"	"DE-M347"
"Bibliothek der Hochschule Offenburg"	"FHBOG"	"DE-Ofb1"
"Bibliothek der Hochschule Ruhr West, Mülheim/Ruhr und Bottrop"	"HRWMB"	"DE-1393"
"Bibliothek der Hochschule Ulm"	"FHUL"	"DE-943"
"Bibliothek der Hochschule Weihenstephan-Triesdorf"	"FHWEI"	"DE-1028"
"Bibliothek der Leopoldina, Halle (Saale)"	"DANL"	"DE-Ha2"
"Bibliothek der Ostfalia Hochschule für angewandte Wissenschaften"	"FHWF"	"DE-916"
"Bibliothek der Pädagogischen Hochschule Freiburg"	"PHBFR"	"DE-Frei129"
"Bibliothek der Pädagogischen Hochschule Heidelberg"	"PHHD"	"DE-He76"
"Bibliothek der Technischen Hochschule Deggendorf"	"FHDEG"	"DE-1050"
"Bibliothek der Technischen Universität Hamburg"	"TUHH"	"DE-830"
"Bibliothek der Westfälischen Hochschule Gelsenkirchen Bocholt Recklinghausen"	"FHBGE"	"DE-1010"
"Bibliothek des Bischöflichen Priesterseminars Trier"	"BPS"	"DE-Tr2"
"Bibliothek des Fraunhofer-Instituts für Silicatforschung"	"FRISC"	"DE-W78S"
"Bibliothek des Zentralinstituts für Seelische Gesundheit Mannheim"	"ZIM"	"DE-Mh32"
"Bibliothekssystem der Universität Mainz"	"UBMZ"	"DE-77"
"BIS - Bibliotheks- und Informationssystem der Universität Oldenburg"	"BISOL"	"DE-715"
"Bochum, Evangelische Hochschule Rheinland-Westfalen-Lippe / Hochschulbibliothek"	"EFRWL"	"DE-956"
"Bundesanstalt für Materialforschung und -prüfung (BAM)"	"BAM"	"DE-B43"
"Bundesinstitut für Risikobewertung"	"BGVV"	"DE-B12"
"Commerzbibliothek der Handelskammer Hamburg"	"HKHH"	"DE-205"
"Deutsches Herzzentrum Berlin"	"DHZB"	""
"Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke"	"DIFE"	"DE-Po6"
"Deutsches Patent- und Markenamt / Bibliothek, München"	"DPMA"	"DE-201"
"Deutsches Rheuma-Forschungszentrum. Ein Institut der Leibniz-Gemeinschaft"	"DRFZ"	"DE-B1531"
"Deutsches Zentrum für Altersfragen, Bibliothek, Berlin"	"DZA"	"DE-B1562"
"Deutsches Zentrum für Neurodegenerative Erkrankungen"	"DZNE"	""
"DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation"	"DIPF"	""
"DLR - Deutsches Zentrum für Luft- und Raumfahrt"	"DLLR"	"DE-Kn182"
"Duale Hochschule Baden-Württemberg"	"BAMOS"	""
"Duale Hochschule Baden-Württemberg DHBW Karlsruhe"	"DHBW"	""
"Duale Hochschule Baden-Württemberg Stuttgart"	"BAS"	"DE-Stg258"
"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek Albertus Magnus"	"DBK"	"DE-Kn28"
"Evangelische Hochschule Berlin"	"EHBER"	"DE-B1556"
"Evangelische Hochschule Ludwigsburg"	"EHLB"	"DE-Rt3"
"Fachhochschule Südwestfalen, Hochschulbibliothek"	"MFHB"	"DE-Hag4"
"Forschungszentrum Jülich GmbH, Zentralbibliothek"	"FZJUE"	"DE-Juel1"
"Fraunhofer-Gesellschaft"	"FRAHG"	""
"Fraunhofer-Institut für Angewandte Optik und Feinmechanik IOF Jena"	"IOF"	""
"Friedrich-Loeffler-Institut / Bundesforschungsinstitut für Tiergesundheit"	"BFAV"	"DE-Bs90"
"Geisteswissenschaftliche Zentren Berlin"	"ZMO"	"DE-B2138"
"Gemeinsame Bibliothek der BA Dresden und der EHS Dresden"	"BADD"	"DE-D161"
"GEOMAR Bibliothek - Helmholtz-Zentrum für Ozeanforschung Kiel"	"IFMAR"	"DE-Ki130"
"Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek"	"GWLB"	"DE-35"
"GSI-Bibliothek"	"GSI"	"DE-Ds200"
"Helmholtz-Zentrum Berlin - Zentralbibliothek"	"HMIB"	"DE-B1505"
"Helmholtz-Zentrum für Infektionsforschung, Braunschweig - Bibliothek"	"GBF"	"DE-Bs80"
"Helmholtz-Zentrum für Umweltforschung GmbH - UFZ"	"UFZ"	"DE-L97"
"Helmholtz-Zentrum Geesthacht, Bibliothek"	"GKSS"	"DE-Gt1"
"Helmholtz Zentrum München - Zentralbibliothek"	"GSF"	""
"Herz- und Diabeteszentrum NRW"	"HDZ"	"DE-294-65"
"Hochschulbibliothek Aalen"	"FHAA"	"DE-944"
"Hochschulbibliothek Ansbach"	"FHBAN"	"DE-1102"
"Hochschulbibliothek der Fachhochschule Aachen"	"FHBAA"	"DE-A96"
"Hochschulbibliothek der FH Bielefeld"	"FHBI"	"DE-Bi10"
"Hochschulbibliothek der HfG Schwäbisch Gmünd"	"HFGG"	"DE-984"
"Hochschulbibliothek der HfWU Nürtingen-Geislingen"	"HFWU"	"DE-950"
"Hochschulbibliothek der Hochschule Düsseldorf"	"FHD"	"DE-Due62"
"Hochschulbibliothek der Hochschule Niederrhein"	"HSNRH"	"DE-829"
