"Institution"	"EZB-Id"	"Sigel"
"Badische Landesbibliothek Karlsruhe"	"BLB"	"DE-31"
"BA Sachsen, Bibliothek der Staatlichen Studienakademie Breitenbrunn"	"BABRE"	"DE-Brt1"
"Bayerische Staatsbibliothek München"	"BSB"	"DE-12"
"Berlin-Brandenburgische Akademie der Wissenschaften, Akademiebibliothek"	"BBAW"	"DE-B4"
"Beuth Hochschule für Technik Berlin"	"TFHB"	"DE-B768"
"BfArM-Bibliothek, Bonn"	"BFARM"	"DE-B1512"
"Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte"	"HERTZ"	"DE-Y2"
"Bibliothek Burg Giebichenstein Kunsthochschule Halle"	"KDHAL"	"DE-Ha125"
"Bibliothek der Akkon-Hochschule"	"AKKON"	""
"Bibliothek der Dualen Hochschule Baden-Württemberg CAS"	"CASH"	"DE-2170"
"Bibliothek der Dualen Hochschule Baden-Württemberg Mannheim"	"BAMA"	"DE-Mh35"
"Bibliothek der Dualen Hochschule Gera-Eisenach, Campus Gera"	"BBG"	"DE-Ga20"
"Bibliothek der Dualen Hochschule Ravensburg"	"BARV"	"DE-Rav1"
"Bibliothek der Evangelischen Hochschule Nürnberg"	"EHS"	"DE-1052"
"Bibliothek der Fachhochschule Erfurt"	"FHEF"	"DE-546"
"Bibliothek der Frankfurt UAS"	"FHF"	"DE-946"
"Bibliothek der Friedrich-Ebert-Stiftung"	"FES"	"DE-Bo133"
"Bibliothek der HafenCity Universität Hamburg"	"HCUHH"	"DE-1373"
"Bibliothek der HAWK -  Hildesheim/Holzminden/Göttingen"	"HAWK"	""
"Bibliothek der Hochschule Biberach"	"FHBC"	"DE-949"
"Bibliothek der Hochschule der Bundesagentur für Arbeit (HdBA), Mannheim"	"HDBA"	"DE-1251"
"Bibliothek der Hochschule für Bildende Künste Braunschweig"	"HBKBS"	"DE-834"
"Bibliothek der Hochschule für Musik, Theater und Medien Hannover"	"HMT"	"DE-960-3"
"Bibliothek der Hochschule für Musik und Theater Leipzig"	"HMTL"	"DE-L152"
"Bibliothek der Hochschule für Wirtschaft und Gesellschaft Ludwigshafen am Rhein"	"FHLU"	"DE-1116"
"Bibliothek der Hochschule Hannover"	"FHH"	"DE-960-1"
"Bibliothek der Hochschule Landshut"	"FHBLA"	"DE-860"
"Bibliothek der Hochschule München"	"FHM"	"DE-M347"
"Bibliothek der Hochschule Offenburg"	"FHBOG"	"DE-Ofb1"
"Bibliothek der Hochschule Ruhr West, Mülheim/Ruhr und Bottrop"	"HRWMB"	"DE-1393"
"Bibliothek der Hochschule Weihenstephan-Triesdorf"	"FHWEI"	"DE-1028"
"Bibliothek der HS Augsburg"	"FHBA"	"DE-Aug4"
"Bibliothek der HS Coburg"	"FHBCO"	"DE-858"
"Bibliothek der HTW-Berlin"	"HTW"	"DE-523"
"Bibliothek der Konrad-Adenauer-Stiftung"	"KAS"	"DE-918"
"Bibliothek der Kriminologischen Zentralstelle e.V., Wiesbaden"	"BKZ"	"DE-2378"
"Bibliothek der Leopoldina, Halle (Saale)"	"DANL"	"DE-Ha2"
"Bibliothek der Max-Planck-Institute für Chemische Ökologie und Biogeochemie"	"ICE"	"DE-J126"
"Bibliothek der Ostfalia Hochschule für angewandte Wissenschaften"	"FHWF"	"DE-916"
"Bibliothek der Pädagogischen Hochschule Freiburg"	"PHBFR"	"DE-Frei129"
"Bibliothek der Pädagogischen Hochschule Heidelberg"	"PHHD"	"DE-He76"
"Bibliothek der Staatlichen Hochschule für Musik Trossingen"	"MHTRO"	"DE-Trs1"
"Bibliothek der Staatlichen Studienakademie Glauchau, BA Sachsen"	"BAG"	"DE-Gla1"
"Bibliothek der Technischen Hochschule Deggendorf"	"FHDEG"	"DE-1050"
"Bibliothek der Technischen Hochschule Nürnberg Georg Simon Ohm"	"FHN"	"DE-92"
"Bibliothek der Technischen Universität Hamburg"	"TUHH"	"DE-830"
"Bibliothek der Westfälischen Hochschule Gelsenkirchen Bocholt Recklinghausen"	"FHBGE"	"DE-1010"
"Bibliothek des Bischöflichen Priesterseminars Trier"	"BPS"	"DE-Tr2"
"Bibliothek des Bundesverfassungsgerichts, Karlsruhe"	"BVG"	"DE-Ka26"
"Bibliothek des Deutschen Museums München"	"DM"	"DE-210"
"Bibliothek des DHI Moskau"	"DHIM"	""
"Bibliothek des Fraunhofer-Instituts für Silicatforschung"	"FRISC"	"DE-W78S"
"Bibliothek des Geozentrums Hannover BGR - LBEG - LIAG"	"BGR"	"DE-Hv112"
"Bibliothek des Hamburger Instituts für Sozialforschung"	"HIS"	"DE-H357"
"Bibliothek des Instituts für Zeitgeschichte, München"	"IFZ"	"DE-M352"
"Bibliothek des Internationalen Konversionszentrums Bonn (BICC)"	"BICC"	""
"Bibliothek des Max-Planck-Instituts für Innovation und Wettbewerb und des Max-Planck-Instituts für Steuerrecht und Öffentliche Finanzen"	"IPMPG"	"DE-M382"
"Bibliothek des Wissenschaftsparks Albert Einstein, Potsdam"	"GFZPO"	"DE-B103"
"Bibliothek des Zentralinstituts für Seelische Gesundheit Mannheim"	"ZIM"	"DE-Mh32"
"Bibliothek des Zentrums für Zeithistorische Forschung e.V., Potsdam"	"ZZFPD"	"DE-Po82"
"Bibliotheken der Universität Frankfurt am Main"	"UBFM"	"DE-30"
"Bibliothekssystem der Justus-Liebig-Universität Gießen"	"UBGIE"	"DE-26"
"Bibliothekssystem der Universität Mainz"	"UBMZ"	"DE-77"
"Bibliothek und Fachinformationsstelle der Wehrtechnischen Dienststelle für Schiffe und Marinewaffen, Maritime Technologie und Forschung, Kiel"	"FWGBW"	"DE-Ki131"
"BIS - Bibliotheks- und Informationssystem der Universität Oldenburg"	"BISOL"	"DE-715"
"Bochum, Evangelische Hochschule Rheinland-Westfalen-Lippe / Hochschulbibliothek"	"EFRWL"	"DE-956"
"Bundesamt für Migration und Flüchtlinge (BAMF), Bibliothek"	"BAMF"	""
"Bundesanstalt für Materialforschung und -prüfung (BAM)"	"BAM"	"DE-B43"
"Bundesinstitut für Berufsbildung, Bibliothek, Bonn / Informationsverbund Berlin-Bonn (IVBB)"	"BIB"	"DE-B1509"
"Bundesinstitut für Risikobewertung"	"BGVV"	"DE-B12"
"Caritas-Bibliothek Freiburg"	"BDCFR"	"DE-Frei26"
"Commerzbibliothek der Handelskammer Hamburg"	"HKHH"	"DE-205"
"Deutsche Hochschule der Polizei, Münster"	"DHPOL"	""
