"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für Gravitationsphysik, Albert-Einstein-Institut, Wissenschaftliche Bibliothek"	"AEI"	"DE-Po62"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, (AWI), Bibliothek"	"AWIPM"	"DE-Bv2"
"Berufsakademie Sachsen, Staatliche Studienakademie Dresden, Bibliothek"	"BADD"	"DE-D161"
"Berufsakademie Sachsen, Staatliche Studienakademie Glauchau, Bibliothek"	"BAG"	"DE-Gla1"
"Duale Hochschule Baden-Württemberg Heidenheim, Bibliothek"	"BAH"	"DE-Hed2"
"Duale Hochschule Baden-Württemberg Mannheim, Bibliothek"	"BAMA"	"DE-Mh35"
"Berufsakademie Sachsen, Staatliche Studienakademie Riesa, Bibliothek"	"BARIE"	"DE-Rs1"
"Duale Hochschule Baden-Württemberg Stuttgart, Bibliothek"	"BAS"	"DE-Stg259"
"Stadtbibliothek Saarlouis"	"BBA"	"DE-885"
"Berlin-Brandenburgische Akademie der Wissenschaften, Akademiebibliothek"	"BBAW"	"DE-B4"
"Deutscher Caritasverband e.V., Bibliothek"	"BDCFR"	"DE-Frei26"
"Bundesinstitut für Arzneimittel und Medizinprodukte (BfArM), Bibliothek"	"BFARM"	"DE-B1512"
"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel, Standort Karlsruhe, Bibliothek, Information und Dokumentation"	"BFEL"	"DE-Ka51"
"Bundesamt für Naturschutz, Bibliothek"	"BFN"	"DE-B219"
"Bundesamt für Strahlenschutz, Zentralbibliothek"	"BFS"	"DE-Sal2"
"Bundesanstalt für Geowissenschaften und Rohstoffe (BGR) und Landesamt für Bergbau, Energie und Geologie (LBEG) im Geozentrum Hannover, Bibliothek"	"BGR"	"DE-Hv112"
"Bundesinstitut für Risikobewertung, Bibliothek"	"BGVV"	"DE-B12"
"Universitätsbibliothek Landau"	"BIBKO"	"DE-Lan1"
"Bibliotheks-und Informationssystem der Carl von Ossietzky Universität Oldenburg (BIS)"	"BISOL"	"DE-715"
"Universitätsbibliothek der RWTH Aachen"	"BTHAC"	"DE-82"
"Max-Planck-Institut für Molekulare Zellbiologie und Genetik, Bibliothek"	"CBG"	"DE-D267"
"Max-Planck-Institut für Chemische Physik fester Stoffe, Bibliothek"	"CPFS"	"DE-D210"
"Schloss Dagstuhl - Leibniz-Zentrum für Informatik, Bibliothek"	"DAG"	"DE-982"
"Fachbibliothek der Dualen Hochschule Baden-Württemberg Karlsruhe (FBD)"	"DHBW"	"DE-90-8"
"Deutsche Universität für Verwaltungswissenschaften Speyer, Universitätsbibliothek"	"DHV"	"DE-Sp3"
"Deutsches Institut für Ernährungsforschung (DIfE) Potsdam-Rehbrücke, Bibliothek"	"DIFE"	"DE-Po6"
"DIW Berlin, Bibliothek"	"DIW"	"DE-B554"
"Deutsches Zentrum für Luft- und Raumfahrt, DLR-Bibliothek"	"DLLR"	"DE-Kn182"
"Deutsches Museum, Bibliothek"	"DM"	"DE-210"
"EBS Universität für Wirtschaft und Recht, EBS Business School, Bibliothek"	"EBS"	"DE-1942"
"Hochschule Fresenius, Bibliothek"	"EFF"	"DE-1126"
"Evangelische Hochschule Rheinland-Westfalen-Lippe, Bibliothek"	"EFRWL"	"DE-956"
"Evangelische Hochschule Nürnberg, Bibliothek"	"EHS"	"DE-1052"
