"Institution"	"EZB-Id"	"Sigel"
Universitätsbibliothek der Freien Universität Berlin	FUB	DE-188-e
Universitäts- und Landesbibliothek Bonn	ULBB	DE-5
Universitätsbibliothek Braunschweig	TUBS	DE-84
Dortmund Universitätsbibliothek Dortmund	UBDO	DE-290
Universitäts- und Landesbibliothek Düsseldorf	ULBD	DE-61
Universitätsbibliothek der FAU Erlangen-Nürnberg	UBEN	DE-29
Frankfurt Bibliotheken der Universität Frankfurt am Main	UBFM	DE-30
Freiburg Universitätsbibliothek Freiburg	UBFRE	DE-25
Greifswald Universitätsbibliothek Greifswald	UBGRW	DE-9
Halle (Saale) Universitäts- und Landesbibliothek Sachsen-Anhalt	ULBH	DE-3
Hamburg Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken	SUBHH	DE-18
Heidelberg Universitätsbibliothek Heidelberg	UBHE	DE-16
Jena Thüringer Universitäts- und Landesbibliothek Jena	THULB	DE-27
Leipzig Universitätsbibliothek Leipzig	UBL	DE-15
Mainz Bibliothekssystem der Universität Mainz	UBMZ	DE-77
Marburg Universität Marburg	UBMA	DE-4
München Universitätsbibliothek der LMU München	UBM	DE-19
Münster Universitäts- und Landesbibliothek Münster	ULBMS	DE-6
Regensburg Universitätsbibliothek Regensburg	UBR	DE-355
Saarbrücken Saarländische Universitäts- und Landesbibliothek	SULB	DE-291
Tübingen Universitätsbibliothek Tübingen	UBTUE	DE-21
Würzburg Universitätsbibliothek Würzburg	UBW	DE-20
Universitätsbibliothek Kiel	UBK	DE-8
