"Institution"	"EZB-Id"	"Sigel"
"Badische Landesbibliothek Karlsruhe"	"BLB"	"DE-31"
"Bayerische Staatsbibliothek München"	"BSB"	"DE-12"
"Beuth Hochschule für Technik Berlin"	"TFHB"	"DE-B768"
"BfArM-Bibliothek, Bonn"	"BFARM"	"DE-B1512"
"Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte"	"HERTZ"	"DE-Y2"
"Bibliothek der Evangelischen Hochschule Nürnberg"	"EHS"	"DE-1052"
"Bibliothek der FH Landshut"	"FHBLA"	"DE-860"
"Bibliothek der Frankfurt UAS"	"FHF"	"DE-946"
"Bibliothek der HafenCity Universität Hamburg"	"HCUHH"	"DE-1373"
"Bibliothek der HAWK -  Hildesheim/Holzminden/Göttingen"	"HAWK"	""
"Bibliothek der Hochschule für Musik, Theater und Medien Hannover"	"HMT"	"DE-960-3"
"Bibliothek der Hochschule Hannover"	"FHH"	"DE-960-1"
"Bibliothek der Hochschule Mainz"	"FHMZ"	"DE-1053"
"Bibliothek der Hochschule München"	"FHM"	"DE-M347"
"Bibliothek der Hochschule Offenburg"	"FHBOG"	"DE-Ofb1"
"Bibliothek der Hochschule Weihenstephan-Triesdorf"	"FHWEI"	"DE-1028"
"Bibliothek der HS Augsburg"	"FHBA"	"DE-Aug4"
"Bibliothek der Max-Planck-Institute für Chemische Ökologie und Biogeochemie"	"ICE"	"DE-J126"
"Bibliothek der Ostfalia Hochschule für angewandte Wissenschaften"	"FHWF"	"DE-916"
"Bibliothek der Pädagogischen Hochschule Freiburg"	"PHBFR"	"DE-Frei129"
"Bibliothek der Pädagogischen Hochschule Heidelberg"	"PHHD"	"DE-He76"
"Bibliothek der Staatlichen Hochschule für Musik Trossingen"	"MHTRO"	"DE-Trs1"
"Bibliothek der Technischen Hochschule Deggendorf"	"FHDEG"	"DE-1050"
"Bibliothek der Technischen Hochschule Nürnberg Georg Simon Ohm"	"FHN"	"DE-92"
"Bibliothek des Deutschen Forums für Kunstgeschichte Paris"	"DFK"	"DE-Y7"
"Bibliothek des DHI Moskau"	"DHIM"	""
"Bibliothek des Fraunhofer-Instituts für Silicatforschung"	"FRISC"	"DE-W78S"
"Bibliothek des Hamburger Instituts für Sozialforschung"	"HIS"	"DE-H357"
"Bibliothek des Max-Planck-Instituts für Innovation und Wettbewerb und des Max-Planck-Instituts für Steuerrecht und Öffentliche Finanzen"	"IPMPG"	"DE-M382"
"Bibliothek des Wissenschaftsparks Albert Einstein, Potsdam"	"GFZPO"	""
"Bibliothek des Zentralinstituts für Seelische Gesundheit Mannheim"	"ZIM"	"DE-Mh32"
"Bibliothek des Zentrums für Zeithistorische Forschung e.V., Potsdam"	"ZZFPD"	"DE-Po82"
"Bibliotheken der Universität Frankfurt am Main"	"UBFM"	"DE-30"
"Bibliothekssystem der Justus-Liebig-Universität Gießen"	"UBGIE"	"DE-26"
"Bibliothekssystem der Universität Mainz"	"UBMZ"	"DE-77"
"BIS - Bibliotheks- und Informationssystem der Universität Oldenburg"	"BISOL"	"DE-715"
"Bundesanstalt für Materialforschung und -prüfung (BAM)"	"BAM"	"DE-B43"
"Bundesinstitut für Risikobewertung"	"BGVV"	"DE-B12"
"Caritas-Bibliothek Freiburg"	"BDCFR"	"DE-Frei26"
"DESY-Bibliotheken Hamburg/Zeuthen"	"DESY"	""
"Deutsche Hochschule der Polizei, Münster"	"DHPOL"	""
"Deutsches Archäologisches Institut, Abteilung Rom - Bibliothek"	"DAIRO"	"DE-Y1"
"Deutsches Archäologisches Institut (DAI), Abteilung Istanbul"	"DAIIN"	""
"Deutsches Archäologisches Institut (DAI), Abteilung Madrid"	"DAIMA"	""
"Deutsches Archäologisches Institut (DAI), Aussenstelle Damaskus der Orient-Abteilung"	"DAIDA"	""
"Deutsches Archäologisches Institut (DAI), Außenstelle Sana'a der Orient-Abteilung"	"DAISA"	""
"Deutsches Archäologisches Institut (DAI), Eurasien-Abteilung"	"DAIEA"	"DE-B523"
"Deutsches Archäologisches Institut (DAI), Kommission für Alte Geschichte und Epigraphik München (AEK)"	"DAIAE"	"DE-M491"
"Deutsches Archäologisches Institut (DAI), Kommission für Archäologie Außereuropäischer Kulturen (KAAK) Bonn"	"DAIBO"	"DE-Bo405"
"Deutsches Archäologisches Institut (DAI) Orientabteilung"	"DAIOA"	""
"Deutsches Archäologisches Institut (DAI), Römisch-Germanische Kommission (RGK)"	"DAIRG"	"DE-F36"
"Deutsches Archäologisches Institut (DAI), Zentrale Berlin"	"DAI"	"DE-B99"
"Deutsches Historisches Institut London"	"GHL"	""
"Deutsches Historisches Institut Paris"	"DHIP"	""
"Deutsches Historisches Institut Warschau"	"DHIW"	""
"Deutsches Institut für Internationale Pädagogische Forschung"	"DIPF"	""
"Deutsches Institut für Japanstudien, Bibliothek"	"DIJ"	"DE-Y5"
"Deutsches Institut für Menschenrechte - Bibliothek"	"DIM"	"DE-B1547"
"Deutsches Institut für Wirtschaftsforschung Berlin"	"DIW"	"DE-B554"
"Deutsches Patent- und Markenamt / Bibliothek, München"	"DPMA"	"DE-201"
"Deutsches Zentrum für Neurodegenerative Erkrankungen"	"DZNE"	""
"DLR - Deutsches Zentrum für Luft- und Raumfahrt"	"DLLR"	"DE-Kn182"
"Evangelische Hochschule Freiburg - Hochschulbibliothek"	"EHF"	"DE-Frei160"
"Fachhochschulbibliothek Dortmund"	"FHBDO"	"DE-Dm13"
"Fachhochschulbibliothek Münster"	"FHBMS"	"DE-836"
"FH Potsdam, Hochschulbibliothek"	"FHPO"	"DE-525"
"Forschungsstelle Amman am Deutschen Evangelischen Institut (DEI)"	"DAIAM"	""
"Forschungsstelle Jerusalem am Deutschen Evangelischen Institut (DEI)"	"DAIJE"	""
"Forschungszentrum Jülich GmbH, Zentralbibliothek"	"FZJUE"	"DE-Juel1"
"Fraunhofer-Gesellschaft"	"FRAHG"	""
"Fraunhofer ICT-IMM"	"IMMMZ"	""
"Fraunhofer-Institut für Angewandte Optik und Feinmechanik IOF Jena"	"IOF"	""
"Fraunhofer-Institut für Arbeitswirtschaft und Organisation"	"FIAO"	"DE-Stg191"
"Fraunhofer-Institut für Keramische Technologien und Systeme IKTS, Dresden, Hermsdorf"	"FRIKT"	""
"Fraunhofer-Institut für Werkstoff- und Strahltechnik, IWS Dresden"	"FRIWS"	""
"Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin"	"FHI"	"DE-B113"
"Führungsakademie der Bundeswehr: Fachinformationsstelle / Bibliothek"	"FAB"	"DE-H256"
"GEOMAR Bibliothek - Helmholtz-Zentrum für Ozeanforschung Kiel"	"IFMAR"	"DE-Ki109"
