"Universitätsbibliothek Tübingen"	"UBTUE"	"DE-21"
"IZUS / Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"Universitätsbibliothek Regensburg"	"UBR"	"DE-355"
"Universitätsbibliothek Passau"	"UBPA"	"DE-739"
"BIS - Bibliotheks- und Informationssystem der Universität Oldenburg"	"BISOL"	"DE-715"
"KIM Konstanz, IT- und Bibliotheksdienste"	"UBKO"	"DE-352"
"Universitätsbibliothek Heidelberg"	"UBHE"	"DE-16"
"Universitätsbibliothek Greifswald"	"UBGRW"	"DE-9"
"Niedersächsische Staats- und Universitätsbibliothek Göttingen"	"SUBGO"	"DE-7"
"Universitätsbibliothek Duisburg-Essen"	"UGHE"	"DE-465"
"Universitäts- und Landesbibliothek Darmstadt"	"TUDA"	"DE-17"
"Universitätsbibliothek Bamberg"	"UBB"	"DE-473"
"Universitätsbibliothek Augsburg"	"UBA"	"DE-384"
"Technische Universität München - Universitätsbibliothek"	"TUM"	"DE-91"
"Universitätsbibliothek der TU Berlin"	"TUBB"	"DE-83"
"Thüringer Universitäts- und Landesbibliothek Jena"	"THULB"	"DE-27"
"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden"	"SLUB"	"DE-14"
"Humboldt-Universität zu Berlin"	"UBHUB"	"DE-11-10"
"Hochschulbibliothek der HTWG Konstanz"	"FHKN"	"DE-Kon4"
"UB der Helmut-Schmidt-Universität Hamburg"	"UBWH"	"DE-705"
"Bibliothek der Hochschule Hannover"	"FHH"	"DE-960-1"
"Hertie School of Governance"	"HSG"	"DE-B1570"
"Universitätsbibliothek der Freien Universität Berlin"	"FUB"	"DE-188-e"
"Universitätsbibliothek der FAU Erlangen-Nürnberg"	"UBEN"	"DE-29"
"Universitätsbibliothek Cottbus-Senftenberg"	"TUCB"	"DE-634"
