"Institution"	"EZB-Id"	"Sigel"
"Universitätsbibliothek Würzburg"	"UBW"	"DE-20"
"Universität Ulm / Kommunikations- und Informationszentrum (kiz)"	"UBU"	"DE-289"
"Universitätsbibliothek Osnabrück"	"UBOS"	"DE-700"
"Universitätsbibliothek Leipzig"	"UBL"	"DE-15"
"Universitätsbibliothek Kiel"	"UBK"	"DE-8"
"Universitätsbibliothek Hildesheim"	"UBHI"	"DE-Hil2"
"Universitätsbibliothek Hagen"	"FUH"	"DE-708"
"Bibliothekssystem der Justus-Liebig-Universität Gießen"	"UBGIE"	"DE-26"
"Universitätsbibliothek Freiburg"	"UBFRE"	"DE-25"
"Bibliotheken der Universität Frankfurt am Main"	"UBFM"	"DE-30"
"Universitätsbibliothek Clausthal"	"UBCL"	"DE-104"
"Ruhr-Universität Bochum"	"RUBO"	"DE-294"
"Bibliothek der Technischen Universität Hamburg"	"TUHH"	"DE-830"
"Universitätsbibliothek Dortmund"	"UBDO"	"DE-290"
"Universitätsbibliothek Braunschweig"	"TUBS"	"DE-84"
"Technische Hochschule Wildau - Bibliothek"	"TFHW"	"DE-526"
"Hochschulbibliothek der TH Köln"	"FHBK"	"DE-832"
"Robert Koch-Institut / Bibliothek"	"RKI"	""
"Bibliothek der Pädagogischen Hochschule Freiburg"	"PHBFR"	"DE-Frei129"
"Karlsruher Institut für Technologie KIT"	"KIT"	"DE-90"
"Leibniz-Institut für Deutsche Sprache (IDS)"	"IDS"	"DE-Mh39"
"Bibliothek der HTW-Berlin"	"HTW"	"DE-523"
