"Lizenzliste für Allianz-Lizenz: Oxford University Press [NALJZ]"																					
"Datum: 25.10.2016 um 11:03 Uhr"																					
"Typ der Lizenzen: Alle angezeigten Lizenzen"																					
																					
"EZB-Id"	"Titel"	"Ampelfarbe"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Typ"	"Preistyp"	"Zugangsbedingung"	"Link zur Zeitschrift"	"anchor"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"moving wall"	"verfuegbar"
208	"Modern Judaism"	2	"Oxford University Press (OUP) ; Project MUSE"	"Geschichte;Politologie"	"1086-3273"	"0276-1114"	"2021132-6"	"http://ezb.uni-regensburg.de/?2021132&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://mj.oxfordjournals.org/content/by/year"	"natli_oup_hum"	1981	1						"DFG-geförderte Allianz-Lizenz"
208	"Modern Judaism"	2	"Oxford University Press (OUP) ; Project MUSE"	"Geschichte;Politologie"	"1086-3273"	"0276-1114"	"2021132-6"	"http://ezb.uni-regensburg.de/?2021132&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://mj.oxfordjournals.org/content/by/year"	"natli_oup_soc"	1981	1						"DFG-geförderte Allianz-Lizenz"
208	"Modern Judaism"	2	"Oxford University Press (OUP) ; Project MUSE"	"Geschichte;Politologie"	"1086-3273"	"0276-1114"	"2021132-6"	"http://ezb.uni-regensburg.de/?2021132&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://mj.oxfordjournals.org/content/by/year"	"natli_oup_full"	1981	1						"DFG-geförderte Allianz-Lizenz"
208	"Modern Judaism"	2	"Oxford University Press (OUP) ; Project MUSE"	"Geschichte;Politologie"	"1086-3273"	"0276-1114"	"2021132-6"	"http://ezb.uni-regensburg.de/?2021132&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://mj.oxfordjournals.org/content/by/year"	"natli_oup_hss"	1981	1						"DFG-geförderte Allianz-Lizenz"
283	"Logic Journal of the IGPL (formerly: Journal of the IGPL)"	2	"Oxford University Press (OUP)"	"Mathematik"	"1368-9894"	"0945-9103;1367-0751"	"2000006-6"	"http://ezb.uni-regensburg.de/?2000006&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://jigpal.oxfordjournals.org/content/by/year"	"natli_oup_stm"	1993	1						"DFG-geförderte Allianz-Lizenz"
283	"Logic Journal of the IGPL (formerly: Journal of the IGPL)"	2	"Oxford University Press (OUP)"	"Mathematik"	"1368-9894"	"0945-9103;1367-0751"	"2000006-6"	"http://ezb.uni-regensburg.de/?2000006&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://jigpal.oxfordjournals.org/content/by/year"	"natli_oup_full"	1993	1						"DFG-geförderte Allianz-Lizenz"
283	"Logic Journal of the IGPL (formerly: Journal of the IGPL)"	2	"Oxford University Press (OUP)"	"Mathematik"	"1368-9894"	"0945-9103;1367-0751"	"2000006-6"	"http://ezb.uni-regensburg.de/?2000006&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://jigpal.oxfordjournals.org/content/by/year"	"natli_oup_mat"	1993	1						"DFG-geförderte Allianz-Lizenz"
351	"Age and Ageing"	2	"Oxford University Press (OUP) ; HighWire Press"	"Medizin"	"1468-2834"	"0002-0729"	"2065766-3"	"http://ezb.uni-regensburg.de/?2065766&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://ageing.oxfordjournals.org/content/by/year"	"natli_oup_full"	1972	1						"DFG-geförderte Allianz-Lizenz"
351	"Age and Ageing"	2	"Oxford University Press (OUP) ; HighWire Press"	"Medizin"	"1468-2834"	"0002-0729"	"2065766-3"	"http://ezb.uni-regensburg.de/?2065766&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://ageing.oxfordjournals.org/content/by/year"	"natli_oup_med"	1972	1						"DFG-geförderte Allianz-Lizenz"
351	"Age and Ageing"	2	"Oxford University Press (OUP) ; HighWire Press"	"Medizin"	"1468-2834"	"0002-0729"	"2065766-3"	"http://ezb.uni-regensburg.de/?2065766&bibid=NALJZ"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://ageing.oxfordjournals.org/"	"natli_oup_stm"	1972	1						"DFG-geförderte Allianz-Lizenz"
