"Lizenzliste für Allianz-Lizenz: Sage Journals Online [NALIW]"																					
"Datum: 25.02.2016 um 17:24 Uhr"																					
"Typ der Lizenzen: Alle angezeigten Lizenzen"																					
																					
"EZB-Id"	"Titel"	"Ampelfarbe"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Typ"	"Preistyp"	"Zugangsbedingung"	"Link zur Zeitschrift"	"anchor"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"moving wall"	"verfuegbar"
119	"Traumatology (1995-2013)"	2	"Sage Publications ; HighWire Press ; Academy of Traumatology"	"Medizin"	"1085-9373"	"1534-7656"	"2031003-1"	"http://ezb.uni-regensburg.de/?2031003&bibid=NALIW"	"Volltext, nur online"	"kostenpflichtig"	"Subscription"	"http://tmt.sagepub.com/"	"sage_hss"	1995	1		2013	19			"DFG-geförderte Allianz-Lizenz"
119	"Traumatology (1995-2013)"	2	"Sage Publications ; HighWire Press ; Academy of Traumatology"	"Medizin"	"1085-9373"	"1534-7656"	"2031003-1"	"http://ezb.uni-regensburg.de/?2031003&bibid=NALIW"	"Volltext, nur online"	"kostenpflichtig"	"Subscription"	"http://tmt.sagepub.com/"	"sage_premier"	1995	1		2013	19			"DFG-geförderte Allianz-Lizenz"
119	"Traumatology (1995-2013)"	2	"Sage Publications ; HighWire Press ; Academy of Traumatology"	"Medizin"	"1085-9373"	"1534-7656"	"2031003-1"	"http://ezb.uni-regensburg.de/?2031003&bibid=NALIW"	"Volltext, nur online"	"kostenpflichtig"	"Subscription"	"http://tmt.sagepub.com/"	"sage_stm"	1995	1		2013	19			"DFG-geförderte Allianz-Lizenz"
119	"Traumatology (1995-2013)"	2	"Sage Publications ; HighWire Press ; Academy of Traumatology"	"Medizin"	"1085-9373"	"1534-7656"	"2031003-1"	"http://ezb.uni-regensburg.de/?2031003&bibid=NALIW"	"Volltext, nur online"	"kostenpflichtig"	"Subscription"	"http://tmt.sagepub.com/"	"sage_health"	1995	1		2013	19			"DFG-geförderte Allianz-Lizenz"
367	"High Performance Polymers"	2	"Sage Publications ; HighWire Press"	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik;Physik"	"1361-6412"	"0954-0083"	"1483713-4"	"http://ezb.uni-regensburg.de/?1483713&bibid=NALIW"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://hip.sagepub.com/"	"sage_materials"	1989	1						"DFG-geförderte Allianz-Lizenz"
367	"High Performance Polymers"	2	"Sage Publications ; HighWire Press"	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik;Physik"	"1361-6412"	"0954-0083"	"1483713-4"	"http://ezb.uni-regensburg.de/?1483713&bibid=NALIW"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://hip.sagepub.com/"	"sage_premier"	1989	1						"DFG-geförderte Allianz-Lizenz"
367	"High Performance Polymers"	2	"Sage Publications ; HighWire Press"	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik;Physik"	"1361-6412"	"0954-0083"	"1483713-4"	"http://ezb.uni-regensburg.de/?1483713&bibid=NALIW"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://hip.sagepub.com/"	"sage_stm"	1989	1						"DFG-geförderte Allianz-Lizenz"
405	"Qualitative Health Research"	2	"Sage Publications ; HighWire Press"	"Medizin"	"1552-7557"	"1049-7323"	"2010333-5"	"http://ezb.uni-regensburg.de/?2010333&bibid=NALIW"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://qhr.sagepub.com/"	"sage_health"	1991	1						"DFG-geförderte Allianz-Lizenz"
405	"Qualitative Health Research"	2	"Sage Publications ; HighWire Press"	"Medizin"	"1552-7557"	"1049-7323"	"2010333-5"	"http://ezb.uni-regensburg.de/?2010333&bibid=NALIW"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://qhr.sagepub.com/"	"sage_premier"	1991	1						"DFG-geförderte Allianz-Lizenz"
405	"Qualitative Health Research"	2	"Sage Publications ; HighWire Press"	"Medizin"	"1552-7557"	"1049-7323"	"2010333-5"	"http://ezb.uni-regensburg.de/?2010333&bibid=NALIW"	"Volltext, Online und Druckausgabe"	"kostenpflichtig"	"Subscription"	"http://qhr.sagepub.com/"	"sage_stm"	1991	1						"DFG-geförderte Allianz-Lizenz"
