Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung	Alfred-Wegener-Institut
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung	Alfred-Wegener-Institut fu.r Polarforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung	Alfred-Wegener-Institut fu.r Polar- und Meeresforschung
Alice Salomon Hochschule Berlin	Alice-Salomon-Hochschule Berlin
Alice Salomon Hochschule Berlin	Alice Salomon Hochschule Berlin
Alice Salomon Hochschule Berlin	Alice Salomon Hochschule
Amerika-Haus-Bibliothek, München	Amerika-Haus Mu.nchen
Arnold-Bergstraesser-Institut, Bibliothek, Freiburg i. Br.	Arnold-Bergstraesser-Institut fu.r Kulturwissenschaftliche Forschung
Augustana-Hochschule / Bibliothek Neuendettelsau	Augustana-Hochschule
Badische Landesbibliothek Karlsruhe	Badische Landesbibliothek
Badische Landesbibliothek Karlsruhe	Großherzogliche Badische Hof- und Landesbibliothek
Badische Landesbibliothek Karlsruhe	Badische Hof- und Landesbibliothek und Mu.nzsammlung
BA Sachsen, Bibliothek der Staatlichen Studienakademie Breitenbrunn	Berufsakademie Sachsen - Staatliche Studienakademie Breitenbrunn
Bayerische Landesanstalt für Weinbau und Gartenbau - Bibliothek, Veitshöchheim	Bayerische Landesanstalt fu.r Weinbau und Gartenbau
Bayerische Landesanstalt für Weinbau und Gartenbau - Bibliothek, Veitshöchheim	Bayerische Landesanstalt fu.r Wein-, Obst- und Gartenbau
Bayerische Staatsbibliothek München	Bayerische Staatsbibliothek
Bayerische Staatsbibliothek München	Ko.nigliche Hof- und Staatsbibliothek zu Mu.nchen
Berlin-Brandenburgische Akademie der Wissenschaften, Akademiebibliothek	Berlin-Brandenburgische Akademie der Wissenschaften
Berufsakademie Sachsen. Staatliche Studienakademie Bautzen	Berufsakademie Sachsen - Staatliche Studienakademie Glauchau
Berufsgenossenschaftliche Kliniken Bergmannstrost Halle, Medizinische Fachbibliothek	Berufsgenossenschaftliche Kliniken Bergmannstrost
Berufsgenossenschaftliche Kliniken Bergmannstrost Halle, Medizinische Fachbibliothek	Berufsgenossenschaftliche Kliniken Stadt Halle Bergmannstrost
Beuth Hochschule für Technik Berlin	Hochschule fu.r Technik und Wirtschaft Berlin
Beuth Hochschule für Technik Berlin	Beuth-Hochschule fu.r Technik Berlin
BfArM-Bibliothek, Bonn	Bundesinstitut fu.r Arzneimittel und Medizinprodukte
